11-10-2020 22:13:44.468 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 1.19 seconds (JVM running for 69.602)
11-10-2020 22:14:21.890 INFO  c.e.gateway.ElcomServiceApplication.logStarting - Starting ElcomServiceApplication on MSI with PID 9628 (E:\2.workspace_spring\learnGateway\target\classes started by admin in E:\2.workspace_spring\learnGateway)
11-10-2020 22:14:21.890 INFO  c.e.gateway.ElcomServiceApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
11-10-2020 22:14:23.118 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 1.277 seconds (JVM running for 108.259)
11-10-2020 22:14:34.082 INFO  c.e.gateway.ElcomServiceApplication.logStarting - Starting ElcomServiceApplication on MSI with PID 2556 (E:\2.workspace_spring\learnGateway\target\classes started by admin in E:\2.workspace_spring\learnGateway)
11-10-2020 22:14:34.085 INFO  c.e.gateway.ElcomServiceApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
11-10-2020 22:14:40.080 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 6.43 seconds (JVM running for 6.914)
11-10-2020 22:14:53.987 INFO  c.e.gateway.ElcomServiceApplication.logStarting - Starting ElcomServiceApplication on MSI with PID 2556 (E:\2.workspace_spring\learnGateway\target\classes started by admin in E:\2.workspace_spring\learnGateway)
11-10-2020 22:14:53.987 INFO  c.e.gateway.ElcomServiceApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
11-10-2020 22:14:55.082 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 1.137 seconds (JVM running for 21.919)
11-10-2020 22:15:03.269 INFO  c.e.gateway.ElcomServiceApplication.logStarting - Starting ElcomServiceApplication on MSI with PID 9068 (E:\2.workspace_spring\learnGateway\target\classes started by admin in E:\2.workspace_spring\learnGateway)
11-10-2020 22:15:03.269 INFO  c.e.gateway.ElcomServiceApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
11-10-2020 22:15:08.542 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 5.709 seconds (JVM running for 6.165)
11-10-2020 22:15:35.641 INFO  c.e.gateway.ElcomServiceApplication.logStarting - Starting ElcomServiceApplication on MSI with PID 9068 (E:\2.workspace_spring\learnGateway\target\classes started by admin in E:\2.workspace_spring\learnGateway)
11-10-2020 22:15:35.641 INFO  c.e.gateway.ElcomServiceApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
11-10-2020 22:15:36.752 INFO  c.e.gateway.ElcomServiceApplication.logStarted - Started ElcomServiceApplication in 1.149 seconds (JVM running for 34.372)
